qty	Mouser reference	price/1	description
5 	798-FH12-16S-05SH55	1.36	Hirose FH12-16S-0.5SH
5 	200-SFPC-SL		2.14	Cage SFP (Farnell 2856825)
5 	571-13670731		1.74	connecteur SFP (Farnell 2112385)
5 	523-MDT275M03001	1.61	M2 M-key
100 	MCS04020C1002FE000 	0.01	10k 0402
100	MEASA105CB5226MFNA01 	0.067	22u 0402
100 	594-MCS04020C4701FE0 	0.02	4k7 0402
100	875-MI0603K300R-10	0.058	ferrite 0603
15	621-DMG1012TQ-7		0.079	MOSFET
5	771-PCA9306DC1Z 	0.79	PCA9306
5	863-LM1117MPX-18NOPB	0.49	LM1117-1.8
5	595-TPS564242DRLR 	0.421	TPS564242DRLR
20	652-CR0402FX-3651GLF	0.004	3k6 0402
20	594-MCS04020C2211FE0	0.089	2k2 0402
100	581-0805ZC106KAT4A 	0.109	10u 0805
100	603-CC402KRX5R6BB105	0.027	1u 0402
100	0402X7R104KT7AT 	0.085	100n 0402
100	80-C0402C101K3RAUTO	0.026	100p 0402
100	652-CR0402-JW-682GLF	0.006	6k8 0402
100	603-RC0402FR-7D33RL 	0.006	33 0402
100	652-CR0402FX-3002GLF	0.006	30k 0402
100	RG1005P-471-D-T10   	0.009	470 0402
20	603-AC0402FR-7D200KL	0.012	200k 0402
5	70-IHLP2020CZR1R5M5A	0.86	1.5uH
5	200-SSW10301GD 		0.903	connecteur 2x03
20	603-RC0402FR-07137KL	0.005	137k 0402


