Type	FSWP-26
Version	3.01
Date	23.May 2025
VSupply	ON
Mode	Voltage
Voltage Set	15.0000000000	V
Voltage Min	0.0000000000	V
Voltage Max	16.0000000000	V
Voltage Meas	0.0160000000	V
Current Max	300.0000000000	mA
Current Meas	0.2629969419	mA
VTune	OFF
Voltage Set	0.0000000000	V
Voltage Min	0.0000000000	V
Voltage Max	5.0000000000	V
Voltage Meas	-0.0147692308	V
Current Max	20.0000000000	mA
Current Meas	-0.0469483568	mA
VAux	OFF
Voltage Set	5.0000000000	V
Voltage Min	0.0000000000	V
Voltage Max	6.0000000000	V
Voltage Meas	0.0067069081	V
Current Max	100.0000000000	mA
Current Meas	0.2415458937	mA
Mode	Phase Noise
Measurement	Phase Noise
Input	RF
RF Att	0.0000000000	dB
Coupling	AC
RBW	3.0000000000	%
XCORR Factor	1000
XCORR Optimize	ON
Estimated Meas Time	6551.8562548773	s
Sweep Count	0
Signal Frequency	62500002.3213342428	Hz
Signal Level	11.9346000000	dBm
Start	1.0000000000	Hz
Stop	10000000.0000000000	Hz
SubSweep	1
Start	1.0000000000	Hz
Stop	3.0000000000	Hz
RBW	0.0900000000	Hz
XCORR Count	1000
SubSweep	2
Start	3.0000000000	Hz
Stop	10.0000000000	Hz
RBW	0.0900000000	Hz
XCORR Count	1000
SubSweep	3
Start	10.0000000000	Hz
Stop	30.0000000000	Hz
RBW	0.3000000000	Hz
XCORR Count	3300
SubSweep	4
Start	30.0000000000	Hz
Stop	100.0000000000	Hz
RBW	0.9000000000	Hz
XCORR Count	10000
SubSweep	5
Start	100.0000000000	Hz
Stop	300.0000000000	Hz
RBW	3.0000000000	Hz
XCORR Count	33000
SubSweep	6
Start	300.0000000000	Hz
Stop	1000.0000000000	Hz
RBW	9.0000000000	Hz
XCORR Count	100000
SubSweep	7
Start	1000.0000000000	Hz
Stop	3000.0000000000	Hz
RBW	30.0000000000	Hz
XCORR Count	330000
SubSweep	8
Start	3000.0000000000	Hz
Stop	10000.0000000000	Hz
RBW	90.0000000000	Hz
XCORR Count	1000000
SubSweep	9
Start	10000.0000000000	Hz
Stop	30000.0000000000	Hz
RBW	300.0000000000	Hz
XCORR Count	3300000
SubSweep	10
Start	30000.0000000000	Hz
Stop	100000.0000000000	Hz
RBW	900.0000000000	Hz
XCORR Count	10000000
SubSweep	11
Start	100000.0000000000	Hz
Stop	300000.0000000000	Hz
RBW	3000.0000000000	Hz
XCORR Count	10000000
SubSweep	12
Start	300000.0000000000	Hz
Stop	1000000.0000000000	Hz
RBW	9000.0000000000	Hz
XCORR Count	10000000
SubSweep	13
Start	1000000.0000000000	Hz
Stop	3000000.0000000000	Hz
RBW	30000.0000000000	Hz
XCORR Count	10000000
SubSweep	14
Start	3000000.0000000000	Hz
Stop	10000000.0000000000	Hz
RBW	90000.0000000000	Hz
XCORR Count	10000000
Integrated Measurements Range	1
Start	1.0000000000	Hz
Stop	10000000.0000000000	Hz
Weighting	OFF
Integrated Measurements Range	2
Start	1.0000000000	Hz
Stop	10000000.0000000000	Hz
Weighting	OFF
Integrated Measurements Range	3
Start	1.0000000000	Hz
Stop	10000000.0000000000	Hz
Weighting	OFF
Integrated Measurements Range	4
Start	1.0000000000	Hz
Stop	10000000.0000000000	Hz
Weighting	OFF
Integrated Measurements Range	5
Start	1.0000000000	Hz
Stop	10000000.0000000000	Hz
Weighting	OFF
Integrated Measurements Range	6
Start	1.0000000000	Hz
Stop	10000000.0000000000	Hz
Weighting	OFF
Integrated Measurements Range	7
Start	1.0000000000	Hz
Stop	10000000.0000000000	Hz
Weighting	OFF
Integrated Measurements Range	8
Start	1.0000000000	Hz
Stop	10000000.0000000000	Hz
Weighting	OFF
Integrated Measurements Range	9
Start	1.0000000000	Hz
Stop	10000000.0000000000	Hz
Weighting	OFF
Integrated Measurements Range	10
Start	1.0000000000	Hz
Stop	10000000.0000000000	Hz
Weighting	OFF
Spot Noise Decade Edges	ON
Spot Noise User Defined	OFF
Spot Noise User Defined Offset	1
State	ON
Offset	1000.0000000000	Hz
Spot Noise User Defined Offset	2
State	ON
Offset	10000.0000000000	Hz
Spot Noise User Defined Offset	3
State	ON
Offset	100000.0000000000	Hz
Spot Noise User Defined Offset	4
State	ON
Offset	1000000.0000000000	Hz
Spot Noise User Defined Offset	5
State	ON
Offset	10000000.0000000000	Hz
Spot Noise User Defined Offset	6
State	ON
Offset	100000000.0000000000	Hz
Window	1	Noise Spectrum
Trace	1
Trace Mode	VIEW
Trace Result	PN
Smoothing	ON
Smoothing Value	1.0000000000	%
Spurious Removal	ON
Spurious Removal Threshold	6.0000000000	dB
Trace Offset	OFF
Trace Offset	0.0000000000	dB
Trace Label	OFF
Trace Label	Trace 1
x-Unit	Hz
y-Unit	dBc/Hz
Values	4663
1.0000000000	-56.4382896423
1.0034632683	-56.4382896423
1.0069385767	-56.4382896423
1.0104259253	-56.4382896423
1.0139254332	-56.4382896423
1.0174369812	-56.4382896423
1.0209606886	-56.4382896423
1.0244965553	-56.4382896423
1.0280447006	-56.4382896423
1.0316051245	-56.4382896423
1.0351779461	-56.4382896423
1.0387630463	-56.4382896423
1.0423606634	-56.4382896423
1.0459706783	-56.4382896423
1.0495932102	-56.4382896423
1.0532282591	-56.4382896423
1.0568759441	-56.4382896423
1.0605362654	-56.4382896423
1.0642092228	-56.4382896423
1.0678949356	-56.4382896423
1.0715934038	-56.4382896423
1.0753046274	-56.4382896423
1.0790288448	-56.4382896423
1.0827658176	-56.4382896423
1.0865157843	-56.3503990173
1.0902787447	-56.2551460266
1.0940546989	-56.1598930359
1.0978437662	-56.0629730225
1.1016459465	-55.9620628357
1.1054613590	-55.8611488342
1.1092898846	-55.7602386475
1.1131316423	-55.6580238342
1.1169868708	-55.5472984314
1.1208553314	-55.4365768433
1.1247371435	-55.3258590698
1.1286325455	-55.2147979736
1.1325412989	-55.0929489136
1.1364636421	-54.9710998535
1.1403995752	-54.8492469788
1.1443492174	-54.7273941040
1.1483124495	-54.6031150818
1.1522893906	-54.4787979126
1.1562801600	-54.3544731140
1.1602846384	-54.2301559448
1.1643031836	-54.1182556152
1.1683354378	-54.0064163208
1.1723817587	-53.8945808411
1.1764421463	-53.7840995789
1.1805164814	-53.6949462891
1.1846050024	-53.6057891846
1.1887077093	-53.5166358948
1.1928246021	-53.4313468933
1.1969556808	-53.3639564514
1.2011011839	-53.2965660095
1.2052608728	-53.2291793823
1.2094351053	-53.1664962769
1.2136237621	-53.1127052307
1.2178269625	-53.1126327515
1.2220447063	-53.1126327515
1.2262769938	-53.1126327515
1.2305239439	-53.1126327515
1.2347856760	-53.1126327515
1.2390621901	-53.1126327515
1.2433534861	-53.1126327515
1.2476595640	-53.1126327515
1.2519805431	-53.1126327515
1.2563166618	-53.1126327515
1.2606676817	-53.1126327515
1.2650337219	-53.1126327515
1.2694149017	-53.1126327515
1.2738113403	-53.1126327515
1.2782229185	-53.1126327515
1.2826498747	-53.1126327515
1.2870920897	-53.1126327515
1.2915496826	-53.1126327515
1.2960226536	-53.1126327515
1.3005112410	-53.1126327515
1.3050153255	-53.1126327515
1.3095350266	-53.1126327515
1.3140703440	-53.1126327515
1.3186213970	-53.1126327515
1.3231881857	-53.2252159119
1.3277708292	-53.3420486450
1.3323693275	-53.4588775635
1.3369836807	-53.5801963806
1.3416141272	-53.7083053589
1.3462605476	-53.8364143372
1.3509230614	-53.9645233154
1.3556017876	-54.0792617798
1.3602966070	-54.1936607361
1.3650077581	-54.3080596924
1.3697352409	-54.4061508179
1.3744791746	-54.4930191040
1.3792393208	-54.5798797607
1.3840161562	-54.6618194580
1.3888094425	-54.7288589478
1.3936192989	-54.7958984375
1.3984458447	-54.8629417419
1.4032890797	-54.9280166626
1.4081491232	-54.9929771423
1.4130259752	-55.0579376221
1.4179197550	-55.1263160706
1.4228304625	-55.1963462830
1.4277582169	-55.2663764954
1.4327028990	-55.3344459534
1.4376648664	-55.4000473022
1.4426438808	-55.4656486511
1.4476402998	-55.5269622803
1.4526538849	-55.5751762390
1.4576849937	-55.6233940125
1.4627333879	-55.6428184509
1.4677993059	-55.6428184509
1.4728827477	-55.6428184509
1.4779838324	-55.6428184509
1.4831025600	-55.6428184509
1.4882389307	-55.6428184509
1.4933931828	-55.6428184509
1.4985653162	-55.6428184509
1.5037553310	-55.6428184509
1.5089633465	-55.6428184509
1.5141893625	-55.6428184509
1.5194333792	-55.6428184509
1.5246957541	-55.6428184509
1.5299762487	-55.6428184509
1.5352749825	-55.6428184509
1.5405921936	-55.6428184509
1.5459277630	-55.6428184509
1.5512818098	-55.6428184509
1.5566543341	-55.6428184509
1.5620455742	-55.6428184509
1.5674554110	-55.6428184509
1.5728839636	-55.6428184509
1.5783313513	-55.6428184509
1.5837976933	-55.6428184509
1.5892828703	-55.6254463196
1.5947870016	-55.5398063660
1.6003103256	-55.4519309998
1.6058527231	-55.3527870178
1.6114143133	-55.1400680542
1.6169950962	-54.9273490906
1.6225953102	-54.6823463440
1.6282148361	-54.3354187012
1.6338539124	-53.9884834290
1.6395124197	-53.6019630432
1.6451905966	-53.1604728699
1.6508884430	-52.7189788818
1.6566059589	-52.2541542053
1.6623432636	-52.2541542053
1.6681005955	-52.2541542053
1.6738777161	-52.2541542053
1.6796748638	-52.2541542053
1.6854921579	-52.2541542053
1.6913294792	-52.2541542053
1.6971870661	-52.2541542053
1.7030650377	-52.2541542053
1.7089632750	-52.2541542053
